"","year","country","weight","langEn","langFr","langOth","langSurveyFr","langSurveyEn","yrBirth","age","age34m","age35p54","age55p","female","relProtest","relCatho","relJewish","relAllOther","relAllChrist","relNone","married","educBHS","educHS","educUniv","ethnAboriginal","ethnWest","ethnEastEur","ethnSubAfrica","ethnMidEastSthAsia","ethnEastAsia","ethnVisible","yearArrivedCdn","immigrantYrInCdn","immigrant","immigrantTen","immigrantLibIncumb","immigrantConsIncumb","urban","rural","incomeLow","incomeMid","incomeHigh","childrenHH","employed","unionHH","publicSect","nfld","pei","ns","nb","quebec","ontario","manitoba","sask","alberta","bc","west","maritimes","roc","religiosity","rightist","rightist_full","libIdpre88","pConsIdpre88","ndpIdpre88","noIdpre88","libIdpreScale88","pConsIdpreScale88","ndpIdpreScale88","strengthIdpre88","ppFeelLib88","ppFeelPCons88","ppFeelNdp88","leadFeelLibpre88","leadFeelPConspre88","leadFeelNdppre88","votedNot88","votedLib88","votedPCons88","votedNdp88","voted_LCN88","voteIntentNot88","voteIntentLib88","voteIntentCons88","voteIntentNdp88","voteIntent88","issAllEcnMI","issEnvMI","issFrgnMI","issImmgAborMI","issAllSocPrMI","issAllMoralMI","issDeath88","issWomMI","issQcMI","issHlthMI","issRghtsMI","issCorrupMI","issFarmerFeel88","issPoorFeel88","issElderlyFeel88","issWomFemFeel88","issLabourFeel88","issEngCanFeel88","issImmgRaceFeel88","issAborigFeel88","issAmericansFeel88","issImmgAdmit88","issEnvVsJobs88","issQcFeel88","issQcSovBin88","issQcSovBin88_WithRoc","issQcSovFour88","govtRightThing","corrupGovt","polInter1Fed88","polInfo2Fed88","x_polInterest88"
"451",1988,"CAN",0.56757652759552,0,1,0,1,0,1915,73,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,1,0,1,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,0,0,0,0,0,0.33,0,0.33,NA,NA,NA,0.5,0.75,0.5,0,0,0,0,NA,0,NA,NA,NA,NA,0,1,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0.33,NA,NA,0.5,0.75,0.625
"452",1988,"CAN",1.82919538021088,1,0,0,0,1,1970,18,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.25,0,0,1,0,0,0,0.66,0.66,0.65,0.5,0.75,0.3,0.3,0.6,0,0,0,1,3,0,0,0,1,"NDP",1,0,0,0,0,0,NA,0,0,0,0,0,0.75,0.8,0.8,0.8,0.7,0.8,0.75,0.75,NA,0,NA,0.8,NA,0,NA,NA,NA,0.75,0.75,0.75
"453",1988,"CAN",0.969479858875275,1,0,0,0,1,1961,27,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.33,NA,NA,0,0,0,0,0,0,0,NA,0.7,0.7,0.5,0.4,0.7,0.6,0,0,1,0,2,0,0,1,0,"Conservatives",1,0,0,0,0,0,0,0,0,0,0,0,0.8,NA,0.9,0.4,0.7,0.9,0.8,0.7,NA,0,1,0.6,NA,0,NA,1,1,0.75,0.5,0.625
"454",1988,"CAN",0.575342774391174,1,0,0,0,1,1914,74,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,NA,NA,1,0,0,0,0.66,0,0,0.66,0.6,0.4,0.5,0.45,0.5,0.6,0,1,0,0,1,0,1,0,0,"Liberals",1,0,0,0,0,0,1,0,0,0,0,0,0.75,1,0.9,NA,0.5,1,NA,0.4,0,0,1,0.6,NA,0,NA,1,1,0.75,1,0.875
"455",1988,"CAN",2.33820509910583,1,0,0,0,1,1916,72,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0.66,NA,NA,1,0,0,0,0.66,0,0,0.66,0.6,0.5,0.4,NA,0.3,0.5,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0.8,0.5,0.75,0.5,0.5,0.75,0.5,0.6,NA,0,1,0.6,NA,0,NA,0.5,0.5,0.5,0,0.25
"456",1988,"CAN",1.46335625648499,1,0,0,0,1,1933,55,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,NA,NA,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.66,NA,NA,0,1,0,0,0,1,0,1,0.6,0.7,0.7,0.4,0.6,0.7,0,0,0,0,NA,0,NA,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0.7,0.85,0.8,0.4,0.5,0.8,0.6,0.65,NA,0,0.5,0.5,NA,0,NA,0.5,1,1,0.75,0.875
"457",1988,"CAN",0.242237612605095,0,1,0,1,0,1916,72,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,1,1,0,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,1,1,1,NA,NA,0,0,0,0,0,0.33,0,0.33,0,0.75,0,NA,NA,0.35,0,0,1,0,2,0,0,1,0,"Conservatives",1,0,0,0,0,0,0,0,0,0,0,0,0.6,0.5,1,NA,0.4,0.5,0.5,1,NA,0.5,1,0.5,NA,0,NA,0.5,0,1,0.75,0.875
"458",1988,"CAN",1.13515305519104,0,1,0,1,0,1964,24,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.66,NA,NA,1,0,0,0,0.66,0,0,0.66,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,-9,1,NA,NA,NA,"Not",1,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.5,NA,NA,0.5,0.5,0.5
"459",1988,"CAN",0.56757652759552,0,1,0,1,0,1956,32,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.66,NA,NA,0,0,0,1,0,0,0,0,0.5,0.4,0.75,NA,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,0.75,0.9,0.65,0.65,0.75,0.75,0.75,NA,0,NA,0.9,0,0,0.33,NA,NA,0.5,0.5,0.5
"460",1988,"CAN",1.55880343914032,NA,NA,NA,0,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.6,0.4,0,0,1,0,2,0,0,1,0,"Conservatives",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,1,1
